status;button_label;title;filename;href;modified_at;generated_at;family;message;parse_note;source_path
OK;OK;05_01_03_g13_buy.py;05_01_03_g13_buy_status.html;status/05_01_03_g13_buy_status.html;2026-07-12 18:45:32;12.07.2026 18:45;05_tariffs/01_tauron_g13;ZAKTUALIZOWANO — Tabela taryfy zakupu Tauron G13 została wygenerowana, a dane automatyki zostały zaktualizowane.;;/work/00_nia_system/00_10_nia_system_statuses/05_01_03_g13_buy_status.html
OK;OK;05_01_04_g13_now_writer.py;05_01_04_g13_now_writer_status.html;status/05_01_04_g13_now_writer_status.html;2026-07-12 18:45:32;12.07.2026 18:45;05_tariffs/G13/current_now_writer;UPDATED — Aktualny slot G13 został wpisany do now-data.;;/work/00_nia_system/00_10_nia_system_statuses/05_01_04_g13_now_writer_status.html
OK;OK;10_01_01_x3_neo_lv_orchestrator.py;10_01_01_x3_neo_lv_orchestrator_status.html;status/10_01_01_x3_neo_lv_orchestrator_status.html;2026-07-12 18:45:18;2026-07-12T18:45:18;10_system/01_inverter/01_solax/10_01_01_x3_neo_lv;FINISHED — Orchestrator finished successfully;;/work/00_nia_system/00_10_nia_system_statuses/10_01_01_x3_neo_lv_orchestrator_status.html
OK;OK;20_40_10_forecast_open_meteo.py;20_40_10_forecast_open_meteo_status.html;status/20_40_10_forecast_open_meteo_status.html;2026-07-12 18:01:00;12.07.2026 18:01;20_analysis/20_40_meteo_forecast;UPDATED — Forecast, CSV, HTML report, status and publication completed successfully;;/work/00_nia_system/00_10_nia_system_statuses/20_40_10_forecast_open_meteo_status.html
OK;OK;20_40_11_pv_weather_model.py;20_40_11_pv_weather_model_status.html;status/20_40_11_pv_weather_model_status.html;2026-07-12 18:01:01;12.07.2026 18:01;20_analysis/20_40_meteo_forecast;GENERATED — PV weather r/n model outputs generated;;/work/00_nia_system/00_10_nia_system_statuses/20_40_11_pv_weather_model_status.html
OK;OK;20_40_12_pv_r_week_review.py;20_40_12_pv_r_week_review_status.html;status/20_40_12_pv_r_week_review_status.html;2026-07-12 18:01:06;12.07.2026 18:01;20_analysis/20_40_meteo_forecast;UPDATED — Tygodniowy przegląd r(h) został przygotowany.;;/work/00_nia_system/00_10_nia_system_statuses/20_40_12_pv_r_week_review_status.html
OK;OK;20_40_13_pv_cloud_c_coefficients.py;20_40_13_pv_cloud_c_coefficients_status.html;status/20_40_13_pv_cloud_c_coefficients_status.html;2026-07-12 18:01:07;12.07.2026 18:01;20_analysis/20_40_meteo_forecast;CLOUD_C_UPDATED — Tabele kalibracyjne c_cloud zostały zaktualizowane.;;/work/00_nia_system/00_10_nia_system_statuses/20_40_13_pv_cloud_c_coefficients_status.html
OK;OK;20_40_14_pv_generation_forecast.py;20_40_14_pv_generation_forecast_status.html;status/20_40_14_pv_generation_forecast_status.html;2026-07-12 10:01:12;12.07.2026 10:01;20_analysis/20_40_meteo_forecast;FORECAST_UPDATED — Prognoza produkcji PV 48h została zaktualizowana.;;/work/00_nia_system/00_10_nia_system_statuses/20_40_14_pv_generation_forecast_status.html
OK;OK;20_40_forecast_open_meteo_orchestrator.py;20_40_forecast_open_meteo_orchestrator_status.html;status/20_40_forecast_open_meteo_orchestrator_status.html;2026-07-12 18:45:53;12.07.2026 18:45;20_analysis/20_40_meteo_forecast;RUN_COMPLETED — Orchestrator zakończył przebieg bez błędów.;;/work/00_nia_system/00_10_nia_system_statuses/20_40_forecast_open_meteo_orchestrator_status.html
OK;OK;20_50_11_automation_rec.py;20_50_11_automation_rec_status.html;status/20_50_11_automation_rec_status.html;2026-07-12 18:46:03;12.07.2026 18:46;20_analysis/20_50_11_automation_rec;UPDATED — Tabela diagnostycznych slotów strategii automatyki została zaktualizowana.;;/work/00_nia_system/00_10_nia_system_statuses/20_50_11_automation_rec_status.html
OK;OK;20_50_12_automation_logic.py;20_50_12_automation_logic_status.html;status/20_50_12_automation_logic_status.html;2026-07-12 18:46:06;12.07.2026 18:46;20_analysis/20_50_12_automation_logic;DECIDED — Silnik logiki automatyki przeliczył bieżącą rekomendację oraz forecast decyzji.;;/work/00_nia_system/00_10_nia_system_statuses/20_50_12_automation_logic_status.html
OK;OK;20_50_13_automation_decision_audit.py;20_50_13_automation_decision_audit_status.html;status/20_50_13_automation_decision_audit_status.html;2026-07-12 18:48:49;12.07.2026 18:48;20_analysis/20_50_13_automation_decision_audit;RECORDED — Audyt decyzji został zaktualizowany.;;/work/00_nia_system/00_10_nia_system_statuses/20_50_13_automation_decision_audit_status.html
OK;OK;40_30_buy_sell_pse.py;40_30_buy_sell_pse_status.html;status/40_30_buy_sell_pse_status.html;2026-07-12 18:49:03;2026-07-12 18:49:03;40_reports/40_30_buy_sell_pse;GENERATE_REPORT — Raport sprzedaży i zakupu energii oraz pliki SVG i PNG zostały wygenerowane i przekazane do publikacji.;;/work/00_nia_system/00_10_nia_system_statuses/40_30_buy_sell_pse_status.html
